scenario,scenario_label,replicate,seed,step,total_output,mean_farmer_profit_before_subsidy,mean_farmer_profit_after_subsidy,mean_farmer_subsidy,avg_environment,avg_quality,share_I,share_O,share_S,clustering_IS
productivist,Productivist,1,67,0,247.65581876621914,1.6582524349127117,1.6582524349127117,0.0,0.0,0.5159496224296233,1.0,0.0,0.0,1.0
productivist,Productivist,1,67,1,247.65581876621914,1.6582524349127117,1.6582524349127117,0.0,-0.05,0.5149521224296233,1.0,0.0,0.0,1.0
productivist,Productivist,1,67,2,247.17701876621913,1.638302434912712,1.638302434912712,0.0,-0.1,0.5129571224296232,1.0,0.0,0.0,1.0
productivist,Productivist,1,67,3,246.21941876621915,1.598402434912712,1.598402434912712,0.0,-0.15,0.5099646224296233,1.0,0.0,0.0,1.0
productivist,Productivist,1,67,4,244.78301876621913,1.5385524349127115,1.5385524349127115,0.0,-0.2,0.5059800341446813,1.0,0.0,0.0,1.0
productivist,Productivist,1,67,5,242.87041638944697,1.4588606692138706,1.4588606692138706,0.0,-0.25,0.5010050341446811,1.0,0.0,0.0,1.0
productivist,Productivist,1,67,6,240.48241638944697,1.35936066921387,1.35936066921387,0.0,-0.29999999999999993,0.4950350341446812,1.0,0.0,0.0,1.0
productivist,Productivist,1,67,7,237.61681638944694,1.2399606692138707,1.2399606692138707,0.0,-0.35,0.4880731946151353,1.0,0.0,0.0,1.0
productivist,Productivist,1,67,8,234.27513341526497,1.100723878622954,1.100723878622954,0.0,-0.4,0.4801536856262442,1.0,0.0,0.0,1.0
productivist,Productivist,1,67,9,230.47376910059725,0.9423336988451324,0.9423336988451324,0.0,-0.4500000000000001,0.4712661856262443,1.0,0.0,0.0,1.0
productivist,Productivist,1,67,10,226.20776910059723,0.7645836988451319,0.7645836988451319,0.0,-0.49999999999999994,0.4614016514458914,1.0,0.0,0.0,1.0
productivist,Productivist,1,67,11,221.47279269402787,0.5672930152380752,0.5672930152380752,0.0,-0.5499999999999998,0.4505941514458914,1.0,0.0,0.0,1.0
productivist,Productivist,1,67,12,216.28519269402787,0.35114301523807556,0.35114301523807556,0.0,-0.5999999999999999,0.43880415144589136,1.0,0.0,0.0,1.0
productivist,Productivist,1,67,13,210.62599269402787,0.11534301523807536,0.11534301523807536,0.0,-0.6500000000000001,0.4260964672342182,1.0,0.0,0.0,1.0
productivist,Productivist,1,67,14,204.52630427242474,-0.13881066899538952,-0.13881066899538952,0.0,-0.7,0.412482227529147,1.0,0.0,0.0,1.0
productivist,Productivist,1,67,15,197.99146921399057,-0.411095463096813,-0.411095463096813,0.0,-0.7500000000000001,0.39796842401698684,1.0,0.0,0.0,1.0
productivist,Productivist,1,67,16,191.0248435281536,-0.701371533340018,-0.701371533340018,0.0,-0.8000000000000002,0.3825050225774659,1.0,0.0,0.0,1.0
productivist,Productivist,1,67,17,183.60241083718358,-1.0106395621304363,-1.0106395621304363,0.0,-0.8500000000000003,0.3661470409466531,1.0,0.0,0.0,1.0
productivist,Productivist,1,67,18,175.7505796543935,-1.3377991947466905,-1.3377991947466905,0.0,-0.9000000000000002,0.34893892719099634,1.0,0.0,0.0,1.0
productivist,Productivist,1,67,19,167.4906850516782,-1.6819614698598273,-1.6819614698598273,0.0,-0.9500000000000006,0.33092975326119506,1.0,0.0,0.0,1.0
productivist,Productivist,1,67,20,158.84628156537366,-2.042144948455851,-2.042144948455851,0.0,-1.0,0.3120630290232657,1.0,0.0,0.0,1.0
productivist,Productivist,1,67,21,149.79025393116754,-2.419479433214438,-2.419479433214438,0.0,-1.0,0.29331304433811395,1.0,0.0,0.0,1.0
productivist,Productivist,1,67,22,140.79026128229467,-2.7944791269174747,-2.7944791269174747,0.0,-1.0,0.2746452526695442,1.0,0.0,0.0,1.0
productivist,Productivist,1,67,23,131.8297212813812,-3.167834960288869,-3.167834960288869,0.0,-1.0,0.2561098682561623,1.0,0.0,0.0,1.0
productivist,Productivist,1,67,24,122.93273676295792,-3.5385426485565072,-3.5385426485565072,0.0,-1.0,0.23782163024845387,1.0,0.0,0.0,1.0
productivist,Productivist,1,67,25,114.15438251925788,-3.904307408710675,-3.904307408710675,0.0,-1.0,0.2196946209924765,1.0,0.0,0.0,1.0
market,Market,1,67,0,247.65581876621914,1.6582524349127117,1.6582524349127117,0.0,0.0,0.5159496224296233,1.0,0.0,0.0,1.0
market,Market,1,67,1,215.11762241698506,2.256766692466033,2.256766692466033,0.0,-0.022300000000000004,0.5155036224296233,0.7325,0.0575,0.21,0.9472140762463344
market,Market,1,67,2,214.64303935962542,2.2426788306950654,2.2426788306950654,0.0,-0.0444,0.5146156224296232,0.73,0.06,0.21,0.9513991163475699
market,Market,1,67,3,215.24087130758636,2.214768780311658,2.214768780311658,0.0,-0.06692499999999998,0.5132771224296232,0.7325,0.065,0.2025,0.9526627218934911
market,Market,1,67,4,214.55217727107637,2.1734723107753644,2.1734723107753644,0.0,-0.08932500000000002,0.5114906224296233,0.73,0.07,0.2,0.9538690476190477
market,Market,1,67,5,214.7811355872325,2.1193256007028793,2.1193256007028793,0.0,-0.11254999999999998,0.5092396224296232,0.7375,0.07,0.1925,0.9433681073025335
market,Market,1,67,6,215.01997297031943,2.053669963342553,2.053669963342553,0.0,-0.13647499999999999,0.5065101224296232,0.7425,0.075,0.1825,0.9292168674698795
market,Market,1,67,7,211.39729360811035,1.9784979594166736,1.9784979594166736,0.0,-0.159175,0.5033266224296233,0.73,0.08,0.19,0.897125567322239
market,Market,1,67,8,205.5583719931799,1.8948737105528939,1.8948737105528939,0.0,-0.17922499999999997,0.49974212242962324,0.7025,0.0925,0.205,0.8819018404907976
market,Market,1,67,9,201.2783111123254,1.8035347963300639,1.8035347963300639,0.0,-0.19817500000000002,0.49577862242962323,0.6925,0.0925,0.215,0.8611111111111112
market,Market,1,67,10,194.99855136266814,1.70404914548351,1.70404914548351,0.0,-0.21479999999999996,0.49148262242962315,0.67,0.0975,0.2325,0.8560250391236307
