scenario,scenario_label,replicate,seed,step,total_output,mean_farmer_profit_before_subsidy,mean_farmer_profit_after_subsidy,mean_farmer_subsidy,avg_environment,avg_quality,share_I,share_O,share_S,clustering_IS
market,Market,1,67,0,247.65581876621914,1.6582524349127117,1.6582524349127117,0.0,0.0,0.5159496224296233,1.0,0.0,0.0,1.0
market,Market,1,67,1,215.11762241698506,2.256766692466033,2.256766692466033,0.0,-0.022300000000000004,0.5155036224296233,0.7325,0.0575,0.21,0.9472140762463344
market,Market,1,67,2,214.64303935962542,2.2426788306950654,2.2426788306950654,0.0,-0.0444,0.5146156224296232,0.73,0.06,0.21,0.9513991163475699
market,Market,1,67,3,215.24087130758636,2.214768780311658,2.214768780311658,0.0,-0.06692499999999998,0.5132771224296232,0.7325,0.065,0.2025,0.9526627218934911
market,Market,1,67,4,214.55217727107637,2.1734723107753644,2.1734723107753644,0.0,-0.08932500000000002,0.5114906224296233,0.73,0.07,0.2,0.9538690476190477
market,Market,1,67,5,214.7811355872325,2.1193256007028793,2.1193256007028793,0.0,-0.11254999999999998,0.5092396224296232,0.7375,0.07,0.1925,0.9433681073025335
market,Market,1,67,6,215.01997297031943,2.053669963342553,2.053669963342553,0.0,-0.13647499999999999,0.5065101224296232,0.7425,0.075,0.1825,0.9292168674698795
market,Market,1,67,7,211.39729360811035,1.9784979594166736,1.9784979594166736,0.0,-0.159175,0.5033266224296233,0.73,0.08,0.19,0.897125567322239
market,Market,1,67,8,205.5583719931799,1.8948737105528939,1.8948737105528939,0.0,-0.17922499999999997,0.49974212242962324,0.7025,0.0925,0.205,0.8819018404907976
market,Market,1,67,9,201.2783111123254,1.8035347963300639,1.8035347963300639,0.0,-0.19817500000000002,0.49577862242962323,0.6925,0.0925,0.215,0.8611111111111112
market,Market,1,67,10,194.99855136266814,1.70404914548351,1.70404914548351,0.0,-0.21479999999999996,0.49148262242962315,0.67,0.0975,0.2325,0.8560250391236307
market,Market,1,67,11,192.35819440733871,1.5971323641201998,1.5971323641201998,0.0,-0.23037499999999994,0.4868751224296232,0.655,0.1175,0.2275,0.8502415458937198
market,Market,1,67,12,185.78054505287747,1.4869767841064012,1.4869767841064012,0.0,-0.24309999999999996,0.4820131224296232,0.625,0.1325,0.2425,0.8327759197324415
market,Market,1,67,13,176.67811003032475,1.3766431936082122,1.3766431936082122,0.0,-0.25127499999999997,0.47698762242962317,0.5775,0.155,0.2675,0.8263888888888888
market,Market,1,67,14,167.49513680518413,1.2655776141006487,1.2655776141006487,0.0,-0.25575,0.4718726224296232,0.5425,0.16,0.2975,0.8237347294938918
market,Market,1,67,15,156.60248232335522,1.156894062787187,1.156894062787187,0.0,-0.25634999999999997,0.46674562242962325,0.51,0.15,0.34,0.814625850340136
market,Market,1,67,16,146.52149529102437,1.0513540258905751,1.0513540258905751,0.0,-0.253225,0.4616811224296232,0.4775,0.145,0.3775,0.8189509306260575
market,Market,1,67,17,142.88244369739797,0.9553007301641913,0.9553007301641913,0.0,-0.25112500000000004,0.4566586224296232,0.475,0.14,0.385,0.8060200668896321
market,Market,1,67,18,131.02653254953728,0.868386573649046,0.868386573649046,0.0,-0.24675000000000005,0.4517236224296232,0.43,0.1375,0.4325,0.7936772046589018
market,Market,1,67,19,124.19637360269121,0.7870643435532476,0.7870643435532476,0.0,-0.24007500000000004,0.4469221224296232,0.41,0.1325,0.4575,0.8013355592654424
market,Market,1,67,20,117.9492247292896,0.7183484698310422,0.7183484698310422,0.0,-0.23207500000000003,0.4422806224296232,0.41,0.1025,0.4875,0.8108108108108109
market,Market,1,67,21,107.36896925435364,0.6606788104492963,0.6606788104492963,0.0,-0.2109,0.4380626224296232,0.38,0.0825,0.5375,0.8018433179723502
market,Market,1,67,22,105.53215669957778,0.614285610048038,0.614285610048038,0.0,-0.19019999999999995,0.4342586224296231,0.38,0.0775,0.5425,0.801829268292683
market,Market,1,67,23,103.09669160650888,0.5805350655051865,0.5805350655051865,0.0,-0.16907499999999998,0.43087712242962317,0.37,0.08,0.55,0.8076923076923077
market,Market,1,67,24,100.04519598682843,0.5538672241341444,0.5538672241341444,0.0,-0.147725,0.42792262242962326,0.3675,0.0675,0.565,0.812220566318927
market,Market,1,67,25,99.21161949587815,0.536652967232469,0.536652967232469,0.0,-0.127125,0.4253801224296232,0.36,0.075,0.565,0.8144796380090498
policy_conversion,Policy: conversion subsidy,1,67,0,247.65581876621914,1.6582524349127117,1.6582524349127117,0.0,0.0,0.5159496224296233,1.0,0.0,0.0,1.0
policy_conversion,Policy: conversion subsidy,1,67,1,198.68547149802185,1.9812449874007991,2.6719116540674657,0.6906666666666668,0.014175,0.5162331224296232,0.24,0.6475,0.1125,1.0
policy_conversion,Policy: conversion subsidy,1,67,2,198.52531387927405,1.979488691124357,2.6728220244576897,0.6933333333333334,0.028550000000000006,0.5168041224296233,0.2375,0.65,0.1125,1.0
policy_conversion,Policy: conversion subsidy,1,67,3,198.39352733060028,1.978713430701257,2.6747134307012557,0.696,0.04312499999999998,0.5176666224296232,0.235,0.6525,0.1125,1.0
policy_conversion,Policy: conversion subsidy,1,67,4,217.1893947055865,2.259172118232853,2.267172118232853,0.008,0.019925,0.5180651224296233,0.74,0.06,0.2,0.9499263622974963
policy_conversion,Policy: conversion subsidy,1,67,5,186.69238204626959,2.0022243259525583,2.5515576592858924,0.5493333333333333,0.03670000000000001,0.5187991224296232,0.2375,0.57,0.1925,1.0
policy_conversion,Policy: conversion subsidy,1,67,6,186.7447971241747,1.981633685900701,2.5469670192340343,0.5653333333333335,0.053724999999999995,0.5198736224296232,0.2325,0.58,0.1875,0.9846743295019157
policy_conversion,Policy: conversion subsidy,1,67,7,189.8405213194972,1.9726903510302216,2.5486903510302215,0.5760000000000001,0.069425,0.5212621224296232,0.2425,0.5875,0.17,0.9757085020242915
policy_conversion,Policy: conversion subsidy,1,67,8,224.32710772939734,2.22225924584609,2.2862592458460904,0.064,0.04452500000000002,0.5221526224296232,0.7425,0.1075,0.15,0.9788961038961039
