scenario,scenario_label,replicate,seed,step,total_output,mean_farmer_profit_before_subsidy,mean_farmer_profit_after_subsidy,mean_farmer_subsidy,final_avg_environment,final_avg_quality,final_share_I,final_share_O,final_share_S,clustering_IS,cumulative_output,mean_period_profit_before_subsidy,mean_period_profit_after_subsidy,mean_period_subsidy,mean_clustering_IS,share_above_market_baseline_before_subsidy,share_above_market_baseline_after_subsidy
market,Market,1,67,25,99.21161949587815,0.536652967232469,0.536652967232469,0.0,-0.127125,0.4253801224296232,0.36,0.075,0.565,0.8144796380090498,4159.332518521276,1.3860534251702632,1.3860534251702632,0.0,0.8556208039924751,1.0,1.0
market,Market,2,68,25,144.38338453640168,0.8991385308520845,0.8991385308520845,0.0,0.09745000000000001,0.4584539052252634,0.5625,0.0425,0.395,0.7757142857142857,3177.6501290187166,0.7713556108978927,0.7713556108978927,0.0,0.8346123196073265,1.0,1.0
market,Market,3,69,25,167.68340466279255,1.0326772658581238,1.0326772658581238,0.0,0.30589999999999995,0.47635961741750293,0.63,0.0725,0.2975,0.8524096385542169,2684.1882044081767,0.7244349401366788,0.7244349401366788,0.0,0.8910512796768927,1.0,1.0
market,Market,4,70,25,105.98178551705658,0.734486280388927,0.734486280388927,0.0,-0.250175,0.43522734482298375,0.36,0.085,0.555,0.8730886850152905,4789.599797413335,1.9231964781277968,1.9231964781277968,0.0,0.8855075875838639,1.0,1.0
market,Market,5,71,25,176.96683720607197,1.2142095647023694,1.2142095647023694,0.0,0.12132499999999999,0.4787708550340187,0.67,0.06,0.27,0.8453757225433526,3267.38152424685,1.091050502165313,1.091050502165313,0.0,0.8554439831013815,1.0,1.0
policy_conversion,Policy: conversion subsidy,1,67,25,214.3593524479345,2.0161628202286535,2.7708294868953214,0.7546666666666667,0.14250000000000004,0.5589531224296234,0.2625,0.7075,0.03,0.9782608695652174,5130.467857227903,1.9774656315815995,2.5560256315815995,0.5785600000000001,0.9746637431794936,0.8666666666666667,1.0
policy_conversion,Policy: conversion subsidy,2,68,25,217.32204189615086,2.2152627350483916,2.8259294017150585,0.6106666666666667,0.45377500000000004,0.5685069052252635,0.355,0.5775,0.0675,0.9595959595959596,3798.5193445440964,1.156775973818619,1.6416826404852856,0.4849066666666667,0.9510767371709307,0.8,1.0
policy_conversion,Policy: conversion subsidy,3,69,25,200.0839250610205,1.810777822765748,2.458777822765748,0.648,0.599325,0.5514486174175031,0.275,0.63,0.095,0.9103448275862069,2998.0053325040494,0.9750680700846476,1.344241403417981,0.3691733333333334,0.958125539997706,0.6666666666666666,1.0
policy_conversion,Policy: conversion subsidy,4,70,25,232.77965223877558,2.596824799466892,3.3328247994668923,0.736,0.11125000000000007,0.5934658448229838,0.295,0.695,0.01,0.9789473684210527,5536.461678999452,2.624176626046313,3.18524329271298,0.5610666666666667,0.9740228518266656,0.8666666666666667,1.0
policy_conversion,Policy: conversion subsidy,5,71,25,222.71364889106135,2.171393018786638,2.8220596854533047,0.6506666666666667,0.4853750000000001,0.5694588550340187,0.35,0.6275,0.0225,0.9847328244274809,3567.8867513552455,1.361099132993168,1.7494724663265016,0.38837333333333335,0.9483834384540241,0.8,1.0
policy_results,Policy: results subsidy,1,67,25,95.91335031427943,0.6041426827752271,0.7624360161085605,0.15829333333333337,-0.13172499999999995,0.4284991224296232,0.34,0.07,0.59,0.8042168674698795,4184.384263588941,1.4241859087477087,1.5449219087477086,0.12073600000000001,0.8573850469819259,1.0,1.0
policy_results,Policy: results subsidy,2,68,25,150.64781806616776,1.0345961641825732,1.3014761641825736,0.26688000000000006,0.10482500000000002,0.4651779052252634,0.5875,0.0275,0.385,0.7921896792189679,3194.3054824560822,0.8253136353914627,1.1040763020581295,0.2787626666666667,0.8422530948528153,0.9666666666666667,1.0
policy_results,Policy: results subsidy,3,69,25,169.73994290913762,1.1225483832182208,1.5834550498848878,0.4609066666666666,0.30879999999999996,0.480647117417503,0.615,0.0925,0.2925,0.8792569659442725,2698.605552632536,0.7690089934792199,1.17571619347922,0.4067072000000001,0.8957778386654962,0.9666666666666667,1.0
policy_results,Policy: results subsidy,4,70,25,109.2761579346695,0.7937498184563639,0.9220164851230306,0.12826666666666667,-0.24692499999999998,0.43845384482298383,0.3725,0.08,0.5475,0.8943338437978561,4800.511115102071,1.9459373701240694,2.0610403034574025,0.11510293333333335,0.8932450552945942,0.9666666666666667,1.0
policy_results,Policy: results subsidy,5,71,25,177.11617425391964,1.330100270075892,1.6811669367425586,0.3510666666666666,0.13927499999999998,0.48499785503401877,0.6625,0.0525,0.285,0.8625180897250362,3262.2787324067904,1.1291422976966128,1.481454831029946,0.35231253333333334,0.8613710967861574,1.0,1.0
