scenario,scenario_label,replicate,seed,step,total_output,mean_farmer_profit_before_subsidy,mean_farmer_profit_after_subsidy,mean_farmer_subsidy,final_avg_environment,final_avg_quality,final_share_I,final_share_O,final_share_S,clustering_IS,cumulative_output,mean_period_profit_before_subsidy,mean_period_profit_after_subsidy,mean_period_subsidy,mean_clustering_IS,share_above_market_baseline_before_subsidy,share_above_market_baseline_after_subsidy
market,Market,1,67,25,99.21161949587815,0.536652967232469,0.536652967232469,0.0,-0.127125,0.4253801224296232,0.36,0.075,0.565,0.8144796380090498,4159.332518521276,1.3860534251702632,1.3860534251702632,0.0,0.8556208039924751,1.0,1.0
market,Market,2,68,25,144.38338453640168,0.8991385308520845,0.8991385308520845,0.0,0.09745000000000001,0.4584539052252634,0.5625,0.0425,0.395,0.7757142857142857,3177.6501290187166,0.7713556108978927,0.7713556108978927,0.0,0.8346123196073265,1.0,1.0
market,Market,3,69,25,167.68340466279255,1.0326772658581238,1.0326772658581238,0.0,0.30589999999999995,0.47635961741750293,0.63,0.0725,0.2975,0.8524096385542169,2684.1882044081767,0.7244349401366788,0.7244349401366788,0.0,0.8910512796768927,1.0,1.0
market,Market,4,70,25,105.98178551705658,0.734486280388927,0.734486280388927,0.0,-0.250175,0.43522734482298375,0.36,0.085,0.555,0.8730886850152905,4789.599797413335,1.9231964781277968,1.9231964781277968,0.0,0.8855075875838639,1.0,1.0
market,Market,5,71,25,176.96683720607197,1.2142095647023694,1.2142095647023694,0.0,0.12132499999999999,0.4787708550340187,0.67,0.06,0.27,0.8453757225433526,3267.38152424685,1.091050502165313,1.091050502165313,0.0,0.8554439831013815,1.0,1.0
policy_practice,Policy: practice subsidy,1,67,25,135.9903910060316,1.116294218815398,1.502960885482065,0.3866666666666667,-0.07547499999999997,0.48093362242962323,0.445,0.1075,0.4475,0.7898089171974523,4277.155480756042,1.6669192880370676,1.9696659547037345,0.3027466666666667,0.8468428609859064,0.7666666666666667,1.0
policy_practice,Policy: practice subsidy,2,68,25,186.6729016834925,1.7579270001472733,2.002593666813941,0.24466666666666673,0.19395000000000004,0.5188559052252635,0.6625,0.0475,0.29,0.833810888252149,3169.49437973139,1.085575616048476,1.5000022827151431,0.41442666666666683,0.864002529880945,0.8666666666666667,1.0
policy_practice,Policy: practice subsidy,3,69,25,171.80432111630236,1.5565128321088828,1.8465128321088826,0.2900000000000001,0.38714999999999994,0.516449617417503,0.5925,0.0675,0.34,0.8607784431137725,2582.1958530048028,0.9319771103227602,1.4272037769894268,0.4952266666666668,0.9146111323561067,0.8666666666666667,1.0
policy_practice,Policy: practice subsidy,4,70,25,136.76737638143751,1.194767722804023,1.590767722804023,0.3960000000000001,-0.1304,0.4861833448229838,0.385,0.18,0.435,0.8568840579710145,4759.183621995187,2.112501057042317,2.38623439037565,0.2737333333333334,0.8626383533705567,0.6666666666666666,1.0
policy_practice,Policy: practice subsidy,5,71,25,191.24291307051885,1.8151548071645314,2.0484881404978648,0.2333333333333334,0.24375,0.5237328550340188,0.66,0.0725,0.2675,0.8440779610194903,3103.6156644043713,1.2799279997735125,1.7212346664401792,0.44130666666666685,0.8690940214420979,0.7666666666666667,1.0
productivist,Productivist,1,67,25,114.15438251925788,-3.904307408710675,-3.904307408710675,0.0,-1.0,0.2196946209924765,1.0,0.0,0.0,1.0,4984.875503832018,-0.35261417395972344,-0.35261417395972344,0.0,1.0,0.03333333333333333,0.03333333333333333
productivist,Productivist,2,68,25,66.36292039371675,-5.867648512844204,-5.867648512844204,0.0,-1.0,0.12237004393832666,1.0,0.0,0.0,1.0,3658.75888538606,-2.5348387202723033,-2.5348387202723033,0.0,1.0,0.03333333333333333,0.03333333333333333
productivist,Productivist,3,69,25,52.62481812805248,-6.511929152919909,-6.511929152919909,0.0,-1.0,0.0984706781861064,1.0,0.0,0.0,1.0,3028.997289161625,-3.6563010929860558,-3.6563010929860558,0.0,1.0,0.0,0.0
productivist,Productivist,4,70,25,132.67099690257172,-3.1949205897624307,-3.1949205897624307,0.0,-1.0,0.25830481649458475,1.0,0.0,0.0,1.0,5484.8347820137715,0.418512509320033,0.418512509320033,0.0,1.0,0.0,0.0
productivist,Productivist,5,71,25,67.0674478036856,-5.836221342590865,-5.836221342590865,0.0,-1.0,0.1262099033802409,1.0,0.0,0.0,1.0,3612.414017445569,-2.6100083053351515,-2.6100083053351515,0.0,1.0,0.0,0.0
